input_size,block_size,k,engineered_s-1,engineered_s-101,engineered_s-611
19200000,1,5,224826368,224826368,224826368
19200000,1,10,218209280,218209280,218209280
19200000,1,20,209820672,209820672,209820672
19200000,1,40,200907776,200907776,200907776
19200000,1,100,191669248,191669248,191669248
19200000,19200000,5,442384463,442393655,442392738
19200000,19200000,10,451733524,451735114,451725091
19200000,19200000,20,480646086,480660450,480624771
19200000,19200000,40,551778449,551793071,551809079
19200000,19200000,100,709816409,709769225,709809515
38400000,1,5,468852736,468852736,468852736
38400000,1,10,455618560,455618560,455618560
38400000,1,20,438841344,438841344,438841344
38400000,1,40,421015552,421015552,421015552
38400000,1,100,402538496,402538496,402538496
38400000,38400000,5,923188428,923182687,923172366
38400000,38400000,10,941859492,941858286,941860738
38400000,38400000,20,999656094,999666325,999651031
38400000,38400000,40,1141918627,1141970863,1141991879
38400000,38400000,100,1458033429,1457858715,1457949549
76800000,1,5,976105472,976105472,976105472
76800000,1,10,949637120,949637120,949637120
76800000,1,20,916082688,916082688,916082688
76800000,1,40,880431104,880431104,880431104
76800000,1,100,843476992,843476992,843476992
76800000,76800000,5,1923163324,1923159846,1923165271
76800000,76800000,10,1960543690,1960514924,1960507075
76800000,76800000,20,2076202810,2076171451,2076146362
76800000,76800000,40,2360788927,2360878808,2360632159
76800000,76800000,100,2992779768,2992802105,2992543207
153600000,1,5,2029010944,2029010944,2029010944
153600000,1,10,1976074240,1976074240,1976074240
153600000,1,20,1908965376,1908965376,1908965376
153600000,1,40,1837662208,1837662208,1837662208
153600000,1,100,1763753984,1763753984,1763753984
153600000,153600000,5,3999944278,3999934314,3999944459
153600000,153600000,10,4074661933,4074642887,4074679689
153600000,153600000,20,4305955298,4305882718,4305912459
153600000,153600000,40,4875038442,4874988990,4875068139
153600000,153600000,100,6139099098,6138954508,6139270065
