input_size,block_size,insertion_s-1,insertion_s-22,insertion_s-57,insertion_s-101,insertion_s-611
5000,1,2.7e-05,2.6e-05,2.6e-05,2.6e-05,2.7e-05
5000,500,0.00224,0.002234,0.00223,0.002208,0.002184
5000,1000,0.00438,0.004365,0.0043,0.004317,0.004274
5000,2500,0.013043,0.01288,0.012856,0.013484,0.012941
5000,5000,0.029447,0.029573,0.029415,0.030662,0.024892
15000,1,9.6e-05,7.8e-05,8.3e-05,7.9e-05,7.9e-05
15000,1500,0.020877,0.017697,0.020532,0.020728,0.02064
15000,3000,0.050609,0.048942,0.04863,0.049159,0.050398
15000,7500,0.138131,0.138942,0.139549,0.137308,0.140422
15000,15000,0.31201,0.317189,0.316212,0.309681,0.315201
25000,1,0.000132,0,0.00014,0.000132,0.000135
25000,2500,0.065965,0.066385,0.067587,0.065062,0.065775
25000,5000,0.149344,0.147177,0.149969,0.15211,0.151192
25000,12500,0.425035,0.418918,0.422179,0.421086,0.417381
25000,25000,1.12464,1.10803,1.13058,1.13043,1.12431
35000,1,0.000184,0.000198,0.000329,0,0.000185
35000,3500,0.14154,0.13937,0.137395,0.141205,0.139484
35000,7000,0.301418,0.29966,0.296782,0.302009,0.300282
35000,17500,0.929003,0.929935,0.927419,0.923743,0.928295
35000,35000,2.55139,2.53447,2.55983,2.52625,2.53544
45000,1,0.000253,0.000276,0.000249,0.000253,0.000239
45000,4500,0.236392,0.236149,0.238066,0.24379,0.234027
45000,9000,0.505412,0.515646,0.507408,0.514412,0.509734
45000,22500,1.77657,1.70084,1.69289,1.68413,1.72814
45000,45000,4.5981,4.62224,4.80376,4.6099,4.63552
55000,1,0.000503,0.00032,0.000326,0.000327,0.000305
55000,5500,0.361628,0.365909,0.370845,0.369507,0.36245
55000,11000,0.798353,0.782338,0.795359,0.783383,0.790344
55000,27500,2.85107,2.78553,2.83179,2.80301,2.81328
55000,55000,7.35522,7.30825,7.30957,7.29377,7.29391
65000,1,0.000354,0.000545,0.000373,0.000352,0.00018
65000,6500,0.50823,0.516291,0.529399,0.515126,0.517684
65000,13000,1.17183,1.1689,1.17251,1.15057,1.17449
65000,32500,4.2957,4.24714,4.27018,4.28832,4.24562
65000,65000,10.722,10.6084,10.6414,10.638,10.6995
75000,1,0.000483,0.000417,0.000414,0.000426,0
75000,7500,0.69616,0.701942,0.703982,0.69466,0.692445
75000,15000,1.60982,1.6148,1.60854,1.61462,1.61658
75000,37500,7.85522,5.95578,5.98659,6.01895,5.98325
75000,75000,14.5722,14.8462,14.617,14.6317,14.6083
85000,1,0.000473,0.000473,0.000536,0.000472,0.000475
85000,8500,0.894614,0.895837,0.908661,0.908149,0.919289
85000,17000,2.19095,2.18606,2.18077,2.18168,2.18002
85000,42500,8.13446,8.76806,8.17306,8.3259,8.50248
85000,85000,20.0427,20.1692,20.0967,20.1737,20.129
95000,1,0.000585,0.000594,0.000365,0.000558,0.000532
95000,9500,1.16131,1.15984,1.16254,1.15173,1.16241
95000,19000,2.90364,2.89761,2.86226,2.84581,2.95493
95000,47500,10.6638,10.6286,10.6834,10.667,10.6398
95000,95000,25.7615,25.7677,28.0944,26.5707,25.9116
105000,1,0.00065,0,0.000301,0.000622,0.000915
105000,10500,1.4557,1.44552,1.45346,1.44974,1.44925
105000,21000,3.65711,3.75612,3.65765,3.71133,3.68075
105000,52500,13.4721,13.5144,13.5069,13.4336,13.5495
105000,105000,32.4271,32.5543,32.3937,32.4921,32.748
115000,1,0.000678,0.000694,0.00067,0.000701,0.000661
115000,11500,1.77466,1.77732,1.79298,1.77469,1.78325
115000,23000,4.62787,4.64809,4.72735,4.58444,4.61753
115000,57500,16.5688,16.7344,16.59,16.5544,16.6197
115000,115000,40.4321,40.4965,40.3877,40.3998,41.2904
125000,1,0.00082,0.000732,0.000562,0.000773,0.000778
125000,12500,2.17842,2.14902,2.17383,2.17724,2.14775
125000,25000,5.64079,5.67288,5.66587,5.68501,5.70466
125000,62500,20.0021,20.0937,20.0071,19.9925,20.0225
125000,125000,49.3992,48.8802,49.4279,50.1991,48.5883
135000,1,0.000846,0.000848,0.00081,0.000679,0.00091
135000,13500,2.60412,2.59416,2.58747,2.58672,2.52222
135000,27000,7.10044,6.97206,7.01422,6.9737,6.93997
135000,67500,23.8162,23.8911,23.8702,23.9298,23.8707
135000,135000,62.35,65.0828,61.8014,60.5702,62.0552
145000,1,0.000582,0.000847,0.000574,0.000895,0.000605
145000,14500,3.06445,3.03518,3.12774,3.06016,3.02144
145000,29000,8.26767,8.19406,8.28808,8.28231,8.33683
145000,72500,27.9423,27.9075,27.9981,27.9594,28.0456
145000,145000,69.9992,71.2623,70.2163,70.4042,71.1477
